host_response_rate,host_acceptance_rate,host_neighbourhood,host_total_listings_count,host_has_profile_pic,host_identity_verified,host_is_superhost
1.00,1.00,Bridgeport,1.00,t,t,t
1.00,0.95,Lincoln Park,0.00,t,t,f
1.00,0.00,West Ridge,1.00,t,t,f
1.00,1.00,West Town/Noble Square,1.00,t,t,t
0.92,0.72,North Center,4.00,t,f,f
0.70,0.45,Lake View,0.00,t,f,f
1.00,0.92,River North,35.00,t,t,f
1.00,0.77,Streeterville,5.00,t,t,f
1.00,0.91,Chicago Loop,7.00,t,t,f
1.00,0.91,Chicago Loop,7.00,t,t,f
0.92,1.00,Streeterville,0.00,t,f,f
0.99,0.74,Shaw,68.00,t,f,f
N/A,N/A,Uptown,12.00,t,t,t
1.00,0.75,Chicago Loop,0.00,t,t,f
N/A,0.00,Lakeview,0.00,t,t,f
1.00,0.82,Fulton Market,15.00,t,t,t
1.00,1.00,Sheffield & DePaul,0.00,t,t,f
1.00,1.00,Little Italy/UIC,1.00,t,t,f
1.00,0.99,Wicker Park,4.00,t,t,t
0.50,0.99,,5.00,t,t,f
1.00,0.93,Lake View East,1.00,t,f,t
1.00,0.90,West Loop/Greektown,1.00,t,t,t
1.00,0.94,South Shore,3.00,t,t,f
N/A,0.73,Portage Park,0.00,t,t,t
1.00,0.00,Uptown,1.00,t,t,f
N/A,N/A,,1.00,t,t,f
1.00,0.87,North Park,1.00,t,t,f
1.00,0.87,West Town,1.00,t,t,f
0.82,0.75,Englewood,7.00,t,t,f
0.05,1.00,North Lawndale,0.00,t,t,f
1.00,1.00,Near North Side,1.00,t,t,f
1.00,N/A,Lincoln Park,2.00,t,t,f
N/A,N/A,Bucktown,1.00,t,f,f
0.93,0.64,Near West Side,3.00,t,f,f
1.00,0.00,Washington Park,2.00,t,t,f
0.50,0.99,,5.00,t,t,f
0.50,0.99,,5.00,t,t,f
1.00,0.96,Magnolia Glen,4.00,t,t,f
1.00,1.00,Near North Side,0.00,t,t,f
0.99,0.74,Shaw,68.00,t,f,f
1.00,0.93,Lakeview,7.00,t,t,t
N/A,N/A,Uptown,12.00,t,t,t
0.99,0.83,Avondale,12.00,t,t,t
0.99,0.74,Shaw,68.00,t,f,f
1.00,0.91,Lincoln Park,14.00,t,t,t
1.00,1.00,Lincoln Park,1.00,t,t,t
1.00,0.82,Fulton Market,15.00,t,t,t
1.00,0.89,River North,2.00,t,t,t
N/A,0.00,Bucktown,1.00,t,t,f
N/A,N/A,Forest Glen,1.00,t,t,f
0.97,0.89,Logan Square,4.00,t,t,f
1.00,0.94,Avondale,1.00,t,f,f
0.75,0.50,River North,6.00,t,t,f
1.00,0.92,Old Town,10.00,t,t,t
1.00,0.74,Lakeview,4.00,t,t,f
0.94,0.62,West Loop/Greektown,0.00,t,t,t
N/A,N/A,,2.00,t,t,f
0.90,1.00,Uptown,2.00,t,f,t
0.00,N/A,South Loop/Printers Row,1.00,t,t,f
N/A,N/A,Washington Park,1.00,t,f,f
0.70,0.59,Marshall Square,0.00,t,t,f
1.00,0.89,Lakeview,5.00,t,t,t
0.98,0.86,Streeterville,21.00,t,t,f
1.00,0.98,Loop,1.00,t,t,t
1.00,0.98,Loop,1.00,t,t,t
1.00,1.00,Bronzeville,6.00,t,t,f
1.00,0.92,Loop,6.00,t,t,f
1.00,0.91,Chicago Loop,7.00,t,t,f
1.00,0.99,Wicker Park,4.00,t,t,t
N/A,1.00,Lakeview,1.00,t,t,f
1.00,1.00,Irving Park,29.00,t,t,t
1.00,1.00,Rogers Park,8.00,t,t,f
1.00,0.95,Austin,1.00,t,t,f
1.00,1.00,West Town,1.00,t,t,t
0.99,0.83,Avondale,12.00,t,t,t
1.00,0.71,Albany Park,0.00,t,f,f
0.80,1.00,Bronzeville,4.00,t,t,f
0.92,0.72,North Center,4.00,t,f,f
1.00,1.00,Logan Square,4.00,t,t,t
1.00,0.92,Old Town,10.00,t,t,t
0.97,0.58,Streeterville,7.00,t,t,f
0.50,N/A,Bucktown,1.00,t,f,f
N/A,N/A,Loop,0.00,t,f,f
1.00,1.00,Irving Park,29.00,t,t,t
1.00,0.99,Wicker Park,4.00,t,t,t
0.97,0.89,Logan Square,4.00,t,t,f
1.00,0.96,Near West Side,3.00,t,t,t
1.00,0.89,Lakeview,5.00,t,t,t
0.75,0.50,River North,6.00,t,t,f
1.00,0.94,Gold Coast,2.00,t,t,f
0.99,0.74,Shaw,68.00,t,f,f
0.91,0.99,Financial District,127.00,t,t,f
1.00,1.00,Lincoln Park,0.00,t,f,f
0.98,0.86,Streeterville,21.00,t,t,f
1.00,0.70,Bucktown,1.00,t,f,t
1.00,0.82,Fulton Market,15.00,t,t,t
1.00,0.87,Logan Square,0.00,t,t,f
1.00,0.93,Wicker Park,1.00,t,t,f
0.99,0.74,Shaw,68.00,t,f,f
0.86,0.82,Logan Square,10.00,t,t,f
1.00,0.92,Uptown,2.00,t,t,t
1.00,0.94,Lower West Side,4.00,t,t,t
1.00,0.99,Wicker Park,4.00,t,t,t
1.00,0.99,Wicker Park,4.00,t,t,t
0.97,0.89,Logan Square,4.00,t,t,f
N/A,N/A,Logan Square,0.00,t,t,f
1.00,0.92,Loop,6.00,t,t,f
N/A,0.93,Ukrainian Village,3.00,t,t,t
1.00,0.95,South Shore,6.00,t,t,f
N/A,N/A,,1.00,t,t,t
1.00,0.98,Wicker Park,5.00,t,t,f
N/A,0.86,Bucktown,1.00,t,t,f
1.00,1.00,Jefferson Park,2.00,t,t,t
1.00,0.46,North Park,3.00,t,t,f
1.00,0.50,Portage Park,1.00,t,t,f
0.00,0.00,Hell's Kitchen,2.00,t,t,f
1.00,0.81,South Shore,1.00,t,t,f
1.00,0.78,Wicker Park,2.00,t,t,f
N/A,N/A,Uptown,12.00,t,t,t
1.00,0.91,Chicago Loop,7.00,t,t,f
1.00,1.00,Pilsen,3.00,t,t,f
1.00,1.00,Pilsen,3.00,t,t,f
1.00,1.00,Pilsen,3.00,t,t,f
N/A,N/A,Lincoln Park,1.00,t,t,f
1.00,0.94,Wicker Park,0.00,t,t,t
0.90,0.76,River West,73.00,t,t,f
1.00,0.99,Table Rock,3924.00,t,t,f
1.00,0.99,Table Rock,3924.00,t,t,f
1.00,0.99,Table Rock,3924.00,t,t,f
1.00,0.99,Table Rock,3924.00,t,t,f
0.91,0.99,Financial District,127.00,t,t,f
1.00,1.00,River West,0.00,t,t,t
1.00,0.75,Chicago Loop,0.00,t,t,f
0.97,0.89,Logan Square,4.00,t,t,f
0.92,0.40,Austin,0.00,t,f,f
0.90,0.88,Near North Side,9.00,t,t,t
0.88,0.97,Near North Side,0.00,t,t,f
1.00,0.87,Wrigleyville,1.00,t,t,t
0.91,0.99,Financial District,127.00,t,t,f
1.00,0.81,Vernon,0.00,t,t,f
1.00,0.92,Rogers Park,0.00,t,f,f
1.00,1.00,Irving Park,29.00,t,t,t
N/A,1.00,Lakeview,1.00,t,f,f
N/A,N/A,,2.00,t,t,f
0.99,0.74,Shaw,68.00,t,f,f
1.00,1.00,Irving Park,29.00,t,t,t
1.00,1.00,Wicker Park,1.00,t,f,f
1.00,0.82,Fulton Market,15.00,t,t,t
N/A,N/A,Irving Park,2.00,t,t,f
1.00,0.91,Bridgeport,1.00,t,t,f
1.00,0.91,Lincoln Park,14.00,t,t,t
1.00,0.33,,1.00,t,t,f
1.00,0.95,Lakeview,2.00,t,f,t
1.00,0.86,Near West Side,1.00,t,t,t
1.00,0.89,Lakeview,9.00,t,t,f
N/A,N/A,Lincoln Square,0.00,t,f,t
0.50,0.99,,5.00,t,t,f
1.00,1.00,South Loop/Printers Row,3.00,t,t,f
1.00,1.00,Sheffield & DePaul,1.00,t,t,t
1.00,0.91,Lincoln Park,14.00,t,t,t
1.00,0.75,Chicago Loop,0.00,t,t,f
0.50,0.99,,5.00,t,t,f
1.00,0.85,Chicago Loop,0.00,t,f,f
1.00,0.96,Lincoln Park,1.00,t,t,f
N/A,N/A,Uptown,12.00,t,t,t
0.33,N/A,Lakeview,2.00,t,t,f
1.00,0.06,Lincoln Park,2.00,t,t,f
0.93,0.99,Lakeview,11.00,t,t,f
N/A,N/A,Wicker Park,1.00,t,t,f
0.94,0.95,Old Town,6.00,t,t,f
1.00,N/A,Logan Square,2.00,t,t,f
1.00,0.99,Wicker Park,16.00,t,t,t
1.00,N/A,West Town,0.00,t,t,f
1.00,0.60,Lakeview,3.00,t,t,f
0.91,0.99,Financial District,127.00,t,t,f
1.00,0.98,Lake View East,1.00,t,t,t
1.00,0.99,Roseland,0.00,t,t,f
1.00,0.33,,1.00,t,t,f
1.00,0.89,Lakeview,5.00,t,t,t
1.00,0.89,Lakeview,5.00,t,t,t
N/A,N/A,Uptown,0.00,t,t,f
1.00,0.83,Bucktown,3.00,t,t,f
N/A,N/A,Sheffield & DePaul,0.00,t,t,f
1.00,0.89,Old Town,15.00,t,t,t
0.83,0.33,West Town/Noble Square,4.00,t,t,t
N/A,N/A,Lake View East,0.00,t,t,f
1.00,0.74,Lakeview,2.00,t,t,t
1.00,0.89,Old Town,15.00,t,t,t
1.00,0.99,Wicker Park,16.00,t,t,t
1.00,0.75,Chicago Loop,0.00,t,t,f
0.92,0.95,River North,1.00,t,f,f
1.00,0.90,Lincoln Square,1.00,t,t,f
1.00,0.82,Garfield Park,10.00,t,t,t
1.00,0.69,Pilsen,1.00,t,t,f
1.00,N/A,Roscoe Village,1.00,t,t,f
1.00,0.88,Lakeview,1.00,t,t,t
1.00,0.92,Old Town,10.00,t,t,t
1.00,N/A,South Loop/Printers Row,1.00,t,t,f
1.00,0.93,Lakeview,7.00,t,t,t
0.40,1.00,Loop,0.00,t,f,f
N/A,0.93,Streeterville,12.00,t,t,f
1.00,1.00,West Town,0.00,t,t,f
1.00,0.94,Lower West Side,4.00,t,t,t
0.98,0.86,Streeterville,21.00,t,t,f
0.81,0.90,West Town/Noble Square,2.00,t,t,f
1.00,1.00,Chinatown,21.00,t,t,t
1.00,1.00,Lincoln Park,1.00,t,f,f
0.99,0.74,Shaw,68.00,t,f,f
0.99,0.74,Shaw,68.00,t,f,f
1.00,1.00,Humboldt Park,1.00,t,f,f
1.00,0.96,Near West Side,3.00,t,t,t
1.00,0.75,Chicago Loop,0.00,t,t,f
1.00,0.95,Old Town,0.00,t,t,t
0.99,0.74,Shaw,68.00,t,f,f
1.00,0.59,Old Town,1.00,t,f,f
0.92,0.72,North Center,4.00,t,f,f
0.99,0.74,Shaw,68.00,t,f,f
1.00,0.82,Garfield Park,10.00,t,t,t
1.00,0.98,Wicker Park,1.00,t,t,t
0.86,1.00,Wrigleyville,14.00,t,t,f
1.00,0.89,Old Town,15.00,t,t,t
1.00,0.91,Lincoln Park,14.00,t,t,t
1.00,0.93,Irving Park,1.00,t,t,f
1.00,0.91,Lincoln Park,14.00,t,t,t
1.00,0.89,Lakeview,9.00,t,t,f
1.00,1.00,Lincoln Park,5.00,t,t,t
1.00,0.82,Garfield Park,10.00,t,t,t
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.75,Chicago Loop,0.00,t,t,f
1.00,0.75,Chicago Loop,0.00,t,t,f
N/A,N/A,Uptown,12.00,t,t,t
0.93,0.99,Lakeview,11.00,t,t,f
0.94,0.98,Lincoln Park,3.00,t,t,f
0.94,0.98,Lincoln Park,3.00,t,t,f
1.00,0.88,Humboldt Park,4.00,t,t,t
0.96,0.99,Lakeview,4.00,t,t,f
1.00,0.92,Logan Square,1.00,t,t,t
1.00,0.86,Lakeview,1.00,t,t,t
N/A,1.00,Lakeview,1.00,t,t,t
N/A,N/A,West Loop/Greektown,17.00,t,f,f
0.00,0.00,West Hollywood,5.00,t,t,f
1.00,0.46,Bucktown,2.00,t,t,f
0.00,0.00,West Hollywood,5.00,t,t,f
0.00,0.00,West Hollywood,5.00,t,t,f
0.00,0.00,West Hollywood,5.00,t,t,f
1.00,0.17,,1.00,t,t,f
0.00,0.00,West Hollywood,5.00,t,t,f
0.00,0.00,West Loop/Greektown,4.00,t,t,f
0.00,0.00,West Loop/Greektown,4.00,t,t,f
0.00,0.00,West Loop/Greektown,4.00,t,t,f
0.00,0.00,West Loop/Greektown,4.00,t,t,f
0.00,0.00,Chicago Loop,2.00,t,t,f
0.00,0.00,Loop,10.00,t,t,f
0.00,0.00,Chicago Loop,6.00,t,f,f
0.00,0.00,Loop,7.00,t,f,f
0.00,0.00,Loop,10.00,t,t,f
N/A,0.00,Loop,8.00,t,t,f
0.00,0.00,Loop,10.00,t,t,f
0.00,0.00,Loop,10.00,t,t,f
0.00,0.00,Hell's Kitchen,3.00,t,t,f
0.00,0.00,Chicago Loop,2.00,t,t,f
0.00,0.00,Chicago Loop,2.00,t,t,f
N/A,0.00,Loop,8.00,t,t,f
0.00,0.00,Chicago Loop,6.00,t,f,f
0.00,0.00,Chicago Loop,2.00,t,t,f
0.00,0.00,Chicago Loop,6.00,t,f,f
0.00,0.00,Loop,7.00,t,f,f
N/A,0.00,Loop,8.00,t,t,f
0.00,0.00,Hell's Kitchen,3.00,t,t,f
0.00,0.00,Loop,7.00,t,f,f
0.00,0.00,Loop,7.00,t,f,f
0.00,0.00,Loop,10.00,t,t,f
N/A,N/A,Lincoln Park,0.00,t,t,t
0.00,0.00,Loop,7.00,t,f,f
0.00,0.00,Chicago Loop,2.00,t,t,f
0.00,0.00,Chicago Loop,6.00,t,f,f
0.00,0.00,Loop,10.00,t,t,f
0.00,0.00,Loop,10.00,t,t,f
0.00,0.00,Hell's Kitchen,3.00,t,t,f
N/A,0.00,Loop,8.00,t,t,f
0.00,0.00,Loop,10.00,t,t,f
N/A,0.00,Loop,8.00,t,t,f
0.00,0.00,Loop,10.00,t,t,f
0.00,0.00,Chicago Loop,6.00,t,f,f
N/A,0.00,Loop,8.00,t,t,f
0.00,0.00,Chicago Loop,2.00,t,t,f
0.00,0.00,Chicago Loop,6.00,t,f,f
0.00,0.00,Loop,7.00,t,f,f
0.00,0.00,Hell's Kitchen,3.00,t,t,f
0.00,0.00,Hell's Kitchen,3.00,t,t,f
N/A,0.00,Loop,8.00,t,t,f
N/A,N/A,Loop,1.00,t,f,f
0.00,0.00,Loop,0.00,t,t,f
1.00,1.00,Bridgeport,0.00,t,t,t
1.00,0.80,Woodlawn,0.00,t,t,f
1.00,0.99,Wicker Park,16.00,t,t,t
1.00,0.99,Wicker Park,16.00,t,t,t
0.80,0.63,North Center,0.00,t,t,f
0.83,0.50,West Town,1.00,t,t,f
1.00,1.00,Garfield Park,1.00,t,f,f
0.89,1.00,West Town,1.00,t,t,f
0.91,0.99,Financial District,127.00,t,t,f
1.00,0.93,Lake View East,1.00,t,t,f
0.58,1.00,Douglas,0.00,t,t,f
0.86,0.67,Ukrainian Village,1.00,t,t,f
N/A,0.71,,1.00,t,f,f
N/A,N/A,North Center,1.00,t,t,t
1.00,1.00,Chinatown,21.00,t,t,t
1.00,1.00,Chinatown,21.00,t,t,t
N/A,0.00,South Shore,1.00,t,f,f
1.00,0.89,Old Town,15.00,t,t,t
1.00,0.90,West Town,1.00,t,f,f
N/A,N/A,West Town,0.00,t,t,t
0.30,0.40,Near South Side,1.00,t,f,f
1.00,1.00,Lincoln Park,5.00,t,t,t
1.00,0.75,Chicago Loop,0.00,t,t,f
1.00,0.75,Chicago Loop,0.00,t,t,f
1.00,0.92,Old Town,10.00,t,t,t
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.96,Pangrati,7.00,t,t,t
1.00,1.00,Streeterville,1.00,t,t,f
1.00,0.72,McKinley Park,0.00,t,t,t
1.00,0.88,,1.00,t,t,t
0.91,0.97,,2.00,t,t,f
N/A,N/A,Portage Park,1.00,t,t,f
1.00,1.00,Chinatown,21.00,t,t,t
N/A,N/A,Lakeview,2.00,t,t,t
1.00,0.99,Pilsen,0.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.86,Tri-Taylor,1.00,t,t,t
0.93,0.79,Lakeview,7.00,t,t,t
1.00,1.00,Lakeview,2.00,t,t,f
1.00,1.00,Lincoln Park,0.00,t,t,f
N/A,N/A,Old Town,2.00,t,t,f
1.00,1.00,Chinatown,21.00,t,t,t
1.00,0.77,Streeterville,5.00,t,t,f
N/A,N/A,,2.00,t,t,f
N/A,N/A,River West,1.00,t,t,t
1.00,0.89,Lakeview,9.00,t,t,f
1.00,1.00,Auburn Gresham,3.00,t,t,f
0.92,1.00,Streeterville,0.00,t,f,f
0.96,0.79,West Town/Noble Square,6.00,t,f,t
1.00,0.91,Lincoln Park,14.00,t,t,t
N/A,0.88,Lincoln Park,0.00,t,t,f
N/A,N/A,Andersonville,2.00,t,t,t
1.00,0.82,Fulton Market,15.00,t,t,t
1.00,1.00,Lakeview,0.00,t,f,t
N/A,N/A,Uptown,12.00,t,t,t
1.00,0.75,Avondale,1.00,t,t,f
1.00,0.94,Wicker Park,0.00,t,t,t
0.90,0.92,Chicago Loop,0.00,t,f,f
0.90,0.92,Chicago Loop,0.00,t,f,f
0.96,0.97,Roscoe Village,21.00,t,t,f
0.98,0.86,Streeterville,21.00,t,t,f
1.00,0.87,,3.00,t,t,f
0.94,0.86,West Ridge,3.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,1.00,Chinatown,21.00,t,t,t
1.00,1.00,Chinatown,21.00,t,t,t
0.98,0.86,Streeterville,21.00,t,t,f
N/A,N/A,Lakeview,4.00,t,t,f
1.00,0.60,Avondale,0.00,t,t,f
1.00,0.87,,3.00,t,t,f
1.00,1.00,Chinatown,21.00,t,t,t
N/A,0.93,Streeterville,12.00,t,t,f
N/A,0.93,Streeterville,12.00,t,t,f
1.00,0.96,Little Italy/UIC,1.00,t,t,t
N/A,0.93,Streeterville,12.00,t,t,f
N/A,0.93,Streeterville,12.00,t,t,f
0.78,0.33,Albany Park,1.00,t,t,f
1.00,0.50,West Loop,0.00,t,t,f
0.98,0.86,Streeterville,21.00,t,t,f
1.00,0.87,Lincoln Park,0.00,t,t,t
1.00,1.00,Irving Park,29.00,t,t,t
1.00,0.97,Little Italy/UIC,1.00,t,t,t
N/A,0.93,Streeterville,12.00,t,t,f
1.00,0.87,West Town,1.00,t,t,f
0.75,0.50,River North,6.00,t,t,f
1.00,0.96,Pangrati,7.00,t,t,t
1.00,1.00,Washington Heights,0.00,t,t,f
1.00,0.97,Logan Square,2.00,t,t,t
1.00,0.95,Old Town,1.00,t,t,t
N/A,N/A,Rogers Park,1.00,t,t,t
1.00,0.99,Cambridge,1683.00,t,t,f
N/A,N/A,Rogers Park,1.00,t,t,t
N/A,N/A,,4.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
N/A,0.93,Streeterville,12.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.93,Wrigleyville,4.00,t,t,f
1.00,1.00,Near South Side,0.00,t,t,t
N/A,N/A,West Town/Noble Square,1.00,t,f,f
0.91,0.99,Financial District,127.00,t,t,f
0.93,0.64,Near West Side,3.00,t,f,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.75,Chicago Loop,0.00,t,t,f
1.00,0.91,Lincoln Park,14.00,t,t,t
